,acc_train,acc_test,loss_train,loss_test
0,49.786,64.33,1.4071613789481836,1.0353156520535771
1,71.422,76.53,0.8133364655959324,0.6904673768689458
2,79.152,79.31,0.5981780310719729,0.5976537115181597
3,83.568,81.38,0.4736948769232133,0.5632779088121252
4,86.336,83.22,0.3956986584951499,0.49317542282632365
5,88.756,84.96,0.32258052458022546,0.4690420592959506
6,90.642,85.12,0.2697826837530921,0.4598634767527588
7,91.886,86.35,0.2296135138955041,0.4351373508620186
8,93.302,86.08,0.1910546135457658,0.4951944502588278
9,94.354,86.76,0.1604540813523592,0.46812032388088803
10,95.234,86.5,0.1353129877424927,0.5108062320005018
11,95.816,85.8,0.11945613764461203,0.5385954143425908
12,96.294,87.48,0.10540260960495723,0.4904366687249642
13,96.778,86.7,0.09158873077196272,0.537873243026364
14,97.33,85.67,0.07667842474675952,0.6164744311509232
15,97.34,86.16,0.07423874863434729,0.6453588292502557
16,97.818,87.35,0.06194720649319017,0.5658256289498589
17,97.982,86.85,0.05905370891926693,0.5894840500368097
18,98.16,87.43,0.05322336049320538,0.5742647241824828
19,98.364,87.78,0.04693453727320646,0.5784793222120728
20,98.218,87.82,0.05043169310770337,0.5823423814061232
21,98.64,86.89,0.03967720381396616,0.641059869870591
22,98.632,87.59,0.03856206341638307,0.6333061361643738
23,98.724,87.37,0.03675663400693083,0.6366282063075148
24,98.814,86.65,0.03468082771727116,0.7454263525263677
25,98.74,88.12,0.0357256132254846,0.6000359792756244
26,99.072,88.01,0.027876568811943513,0.6254399817335767
27,98.902,88.58,0.031248480854643854,0.5984673501905827
28,98.88,87.71,0.03140888555915567,0.6552826898669402
29,99.078,88.11,0.027415483855369942,0.6183164221734498
30,99.354,87.42,0.019234870950765575,0.7072736864623884
31,99.232,87.75,0.022631148431735748,0.6438834838652477
32,99.17,88.31,0.024051533365828926,0.6560768752534407
